checksum_http_service=LISTENING
checksum_http_port=19411
checksum_http_workers=1
checksum_http_mode=emulate
checksum_http_runtime=/Users/danielscai/Documents/workspace/navpay/navpay-phonepe/src/services/checksum/runtime
checksum_http_library=/Users/danielscai/Documents/workspace/navpay/navpay-phonepe/src/services/checksum/runtime/lib/arm64-v8a/libphonepe-cryptography-support-lib.so
WARNING: A restricted method in java.lang.System has been called
WARNING: java.lang.System::loadLibrary has been called by org.scijava.nativelib.NativeLoader in an unnamed module (file:/Users/danielscai/Documents/workspace/navpay/navpay-phonepe/src/services/checksum/target/checksum-service.jar)
WARNING: Use --enable-native-access=ALL-UNNAMED to avoid a warning for callers in this module
WARNING: Restricted methods will be blocked in a future release unless native access is enabled

[pool-1-thread-1] INFO com.github.unidbg.linux.AndroidSyscallHandler - Return default pipe pair.
checksum_perf construct_ms=0.000 execute_ms=1672.283 prepare_ms=1575.842 checksum_ms=51.022 jnmcs_ms=50.825 reused=false
checksum_perf construct_ms=0.000 execute_ms=6.310 prepare_ms=0.001 checksum_ms=5.728 jnmcs_ms=5.667 reused=true
checksum_perf construct_ms=0.000 execute_ms=3.852 prepare_ms=0.001 checksum_ms=3.318 jnmcs_ms=3.275 reused=true
checksum_perf construct_ms=0.000 execute_ms=3.348 prepare_ms=0.001 checksum_ms=2.899 jnmcs_ms=2.864 reused=true
checksum_perf construct_ms=0.000 execute_ms=5.193 prepare_ms=0.001 checksum_ms=4.649 jnmcs_ms=4.593 reused=true
checksum_perf construct_ms=0.000 execute_ms=6.319 prepare_ms=0.001 checksum_ms=5.102 jnmcs_ms=5.020 reused=true
checksum_perf construct_ms=0.000 execute_ms=3.966 prepare_ms=0.001 checksum_ms=3.476 jnmcs_ms=3.432 reused=true
checksum_perf construct_ms=0.000 execute_ms=9.064 prepare_ms=0.001 checksum_ms=7.972 jnmcs_ms=7.812 reused=true
checksum_perf construct_ms=0.000 execute_ms=4.592 prepare_ms=0.001 checksum_ms=3.643 jnmcs_ms=3.550 reused=true
checksum_perf construct_ms=0.000 execute_ms=4.162 prepare_ms=0.001 checksum_ms=3.635 jnmcs_ms=3.585 reused=true
checksum_perf construct_ms=0.000 execute_ms=6.020 prepare_ms=0.001 checksum_ms=5.464 jnmcs_ms=5.383 reused=true
checksum_perf construct_ms=0.000 execute_ms=6.197 prepare_ms=0.001 checksum_ms=5.653 jnmcs_ms=5.594 reused=true
checksum_perf construct_ms=0.000 execute_ms=5.269 prepare_ms=0.001 checksum_ms=4.596 jnmcs_ms=4.540 reused=true
checksum_perf construct_ms=0.000 execute_ms=5.358 prepare_ms=0.001 checksum_ms=4.754 jnmcs_ms=4.700 reused=true
checksum_perf construct_ms=0.000 execute_ms=3.234 prepare_ms=0.001 checksum_ms=2.795 jnmcs_ms=2.760 reused=true
checksum_perf construct_ms=0.000 execute_ms=6.352 prepare_ms=0.001 checksum_ms=5.378 jnmcs_ms=5.330 reused=true
checksum_perf construct_ms=0.000 execute_ms=4.675 prepare_ms=0.001 checksum_ms=4.203 jnmcs_ms=4.151 reused=true
checksum_perf construct_ms=0.000 execute_ms=5.550 prepare_ms=0.001 checksum_ms=4.481 jnmcs_ms=4.142 reused=true
checksum_perf construct_ms=0.000 execute_ms=3.767 prepare_ms=0.001 checksum_ms=3.108 jnmcs_ms=3.062 reused=true
checksum_perf construct_ms=0.000 execute_ms=4.488 prepare_ms=0.001 checksum_ms=3.650 jnmcs_ms=3.573 reused=true
checksum_perf construct_ms=0.000 execute_ms=6.680 prepare_ms=0.001 checksum_ms=5.638 jnmcs_ms=5.555 reused=true
checksum_perf construct_ms=0.000 execute_ms=3.705 prepare_ms=0.001 checksum_ms=3.054 jnmcs_ms=2.978 reused=true
checksum_perf construct_ms=0.000 execute_ms=4.374 prepare_ms=0.001 checksum_ms=3.110 jnmcs_ms=3.058 reused=true
checksum_perf construct_ms=0.000 execute_ms=4.016 prepare_ms=0.001 checksum_ms=3.181 jnmcs_ms=3.133 reused=true
checksum_perf construct_ms=0.000 execute_ms=3.069 prepare_ms=0.000 checksum_ms=2.759 jnmcs_ms=2.727 reused=true
